Name,Address,Category,Link
해목 해운대점,부산광역시 해운대구 우동 542-30,음식점>일식>일식당,
무겐,부산광역시 해운대구 우동 1436-2 아라트리움 203호,음식점>일식>일식당,
해운대 씨엘로,부산광역시 해운대구 우동 1436-1 더샵해운대아델리스 2층 202호,음식점>양식,https://app.catchtable.co.kr/ct/shop/cielo__kr
